Unnamed: 0,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
167442,KERALA,1957,29 KALLOOPPARA,1 M. M. MATHAI,M,,,INC,17874.0
167443,KERALA,1957,29 KALLOOPPARA,2 N. T. GEORGE,M,,,CPI,10843.0
167444,KERALA,1957,29 KALLOOPPARA,3 R. SUBRAMONIAN NAIR,M,,,PSP,9456.0
167445,KERALA,1957,29 KALLOOPPARA,4 DANIEL NINAN,M,,,IND,1068.0
167446,KERALA,1957,30 THIRUVALLA,1 G. PADMANABHAN THAMPI,M,,,CPI,22978.0
167447,KERALA,1957,30 THIRUVALLA,2 KURUVILA THOMAS T.,M,,,INC,20347.0
167448,KERALA,1957,30 THIRUVALLA,3 K. A. MATHEW,M,,,PSP,2058.0
167449,KERALA,1957,31 CHENGANNUR,1 SANKARANARAYANAN THAMPI R.,M,,,CPI,19538.0
167450,KERALA,1957,31 CHENGANNUR,2 SARASWATHI AMMA K.,F,,,INC,13546.0
167451,KERALA,1957,31 CHENGANNUR,3 RAMACHANDRAN NAIR C. K.,M,,,PSP,4134.0
167452,KERALA,1957,32 ALLEPPEY,1 THOMAS T. V.,M,,,CPI,26542.0
167453,KERALA,1957,32 ALLEPPEY,2 NAFEESA BEEVI A.,F,,,INC,22278.0
167454,KERALA,1957,32 ALLEPPEY,3 RAMA PAI N.,M,,,PSP,304.0
167455,KERALA,1957,33 MARARIKULAM,1 SADASIVAN C. G.,M,,,CPI,28153.0
167456,KERALA,1957,33 MARARIKULAM,2 JOSEPH MATHEN,M,,,INC,18350.0
167457,KERALA,1957,34 CHERTHALA,1 K. R. GOURI,F,,,CPI,26088.0
167458,KERALA,1957,34 CHERTHALA,2 A. SUBRAMONIAN PILLAI,M,,,INC,22756.0
167459,KERALA,1957,35 TARUR,1 P. S. KARTHIKEYAN,M,,,INC,23956.0
167460,KERALA,1957,35 TARUR,2 AVIRA THARAKAN,M,,,IND,22296.0
167461,KERALA,1957,36 THAKASHI,1 THOMAS JOHN,M,,,INC,21940.0
167462,KERALA,1957,36 THAKASHI,2 VARGHESE VAIDLIAN T. K.,M,,,CPI,16480.0
167463,KERALA,1957,36 THAKASHI,3 KRISHNANKUTTY NAIR C.,M,,,RSP,5105.0
167464,KERALA,1957,36 THAKASHI,3 KRISHNANKUTTY NAIR C.,M,,,RSP,5105.0
167465,KERALA,1957,37 CHANGANACHERRY,1 KALYANAKRISHNAN NAIR M.,M,,,CPI,22539.0
167466,KERALA,1957,37 CHANGANACHERRY,2 RAGHAVAN PILLAI P.,M,,,INC,19693.0
167467,KERALA,1957,38 VAZHOOR,1 CHACKO P. T.,M,,,INC,20102.0
167468,KERALA,1957,38 VAZHOOR,2 RAGHAVA KURUP N.,M,,,CPI,20022.0
167469,KERALA,1957,39 KANJIRAPPALLY,1 THOMAS K. T.,M,,,INC,14896.0
167470,KERALA,1957,39 KANJIRAPPALLY,2 JOSEPH,M,,,PSP,12893.0
167471,KERALA,1957,39 KANJIRAPPALLY,3 VARGHESE P. P.,M,,,RSP,1873.0
167472,KERALA,1957,40 PUTHUPPALLY,1 P. C. CHERIAN,M,,,INC,20396.0
167473,KERALA,1957,40 PUTHUPPALLY,2 GEORGE E. M.,M,,,CPI,19000.0
167474,KERALA,1957,40 PUTHUPPALLY,3 ZACHARIAH V. J.,M,,,PSP,1406.0
167475,KERALA,1957,40 PUTHUPPALLY,4 NARAYANA KURUP P.,M,,,IND,1192.0
167476,KERALA,1957,41 KOTTAYAM,1 BHASKARAN NAIR P.,M,,,CPI,23021.0
167477,KERALA,1957,41 KOTTAYAM,2 GOVINDHAN NAIR M. P.,M,,,INC,20750.0
167478,KERALA,1957,41 KOTTAYAM,3 KUTTAPPAN P.,M,,,IND,1886.0
167479,KERALA,1957,42 ETTUMANOOR,1 JOSEPH GEORGE,M,,,INC,21423.0
167480,KERALA,1957,42 ETTUMANOOR,2 GOPALA PILLAI C. S.,M,,,CPI,19930.0
167481,KERALA,1957,42 ETTUMANOOR,3 NARAYANAN BHATTATHIRPAD,M,,,IND,246.0
167482,KERALA,1957,42 ETTUMANOOR,4 MATHEW,M,,,IND,233.0
167483,KERALA,1957,42 ETTUMANOOR,5 VARGHESE POULOSE,M,,,RSP,73.0
167484,KERALA,1957,43 MEENACHIL,1 JOSEPH P. M.,M,,,INC,20126.0
167485,KERALA,1957,43 MEENACHIL,2 THOMAS MATHAI,M,,,IND,13462.0
167486,KERALA,1957,44 VAIKOM,1 K. R. NARAYANAN,M,,,INC,25818.0
167487,KERALA,1957,44 VAIKOM,2 C. K. VISWANATHAN,M,,,CPI,25164.0
